"","Age","Pitches","IP","G","P_per_IP_accel_2","prior_injury","sinkers_cutters_percent","prior_injury_last_2","P_per_IP","pitches_per_bat","Pitches_accel_2","G_accel_2","IP_accel_2","tj","sinkers_cutters_percent_accel_2","IP_per_G","pitches_per_game","other_pitch_types_percent_accel_2","other_pitch_types_w_accel_2","years_since_tj","other_pitch_types_X_accel_2","other_pitch_types_Z_accel_2","SO_G_accel_2","ws_pitcher","walk_rate","walk_rate_accel_2","wild_pitch_rate","wild_pitch_rate_accel_2","FA...pi.","FC...pi.","SI...pi.","FA.X..pi.","FC.X..pi.","SI.X..pi.","FA.Z..pi.","FC.Z..pi.","SI.Z..pi.","wFA..pi.","wFC..pi.","wSI..pi.","FA...pi._accel_2","FC...pi._accel_2","SI...pi._accel_2","FA.X..pi._accel_2","FC.X..pi._accel_2","SI.X..pi._accel_2","FA.Z..pi._accel_2","FC.Z..pi._accel_2","wFC.C..pi.","wFC.C..pi._accel_2","wSI.C..pi.","wSI.C..pi._accel_2","wFA.C..pi.","wFA.C..pi._accel_2","SI.Z..pi._accel_2","win_rec","wFA..pi._accel_2","wSI..pi._accel_2","wFC..pi._accel_2","vFA..pi.","vFC..pi.","vSI..pi.","vFC..pi._accel_2","vFA..pi._accel_2","vSI..pi._accel_2","SL...pi.","SL...pi._accel_2","SL.X..pi.","SL.X..pi._accel_2","SL.Z..pi.","SL.Z..pi._accel_2","vSL..pi.","vSL..pi._accel_2","wSL..pi.","wSL..pi._accel_2"
"Age","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pitches","-0.0262630340675265","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IP","-0.0212177104177109","0.994553135934623","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G","0.0833328380017742","-0.0596131842360477","-0.0553389377615571","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P_per_IP_accel_2","0.112658659974054","-0.0372675996270376","-0.0649384795693862","-0.115890794774125","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"prior_injury","0.114601038675118","0.0421967549877904","0.0388755674382456","-0.12836830693536","0.104275092783145","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sinkers_cutters_percent","0.171612582464739","0.0194683893741083","0.04266375684222","0.00930981240662782","0.0165903667695874","0.00586893204145471","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"prior_injury_last_2","-0.000947997428826468","0.0346885808215161","0.0318732255744377","-0.081711771382777","0.103630022004386","0.659913268456941","-0.00167404577753116","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P_per_IP","-0.03512209024495","-0.232424374086929","-0.306205313636066","-0.157571243708108","0.400655210497665","0.0243559815923494","-0.234997868138911","0.00467409240622968","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pitches_per_bat","-0.0744526421593484","-0.0580671221464575","-0.116118433378927","0.169575359113171","0.156711930012372","-0.0393088071987431","-0.377138833696575","-0.0348391846679714","0.63889762088116","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pitches_accel_2","-0.222861040038009","0.423240059921103","0.421086901320273","0.261784700386435","-0.27421607984797","-0.0705793329692772","-0.0296984614915351","-0.0553414693623863","-0.140831585156767","0.0295480179456587","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G_accel_2","-0.216279149902472","0.161924251258479","0.162326142916815","0.508291615595458","-0.317142841331682","-0.0589520562624926","-0.0105955177208381","-0.0575129954513616","-0.153129080096641","0.041373927858888","0.553938846528112","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IP_accel_2","-0.226383943712394","0.412320493004543","0.417382764064803","0.267645475894526","-0.323435655179047","-0.0810652285553973","-0.0233118211857632","-0.0642726440514285","-0.185129025261508","0.00391513031526822","0.993036787050853","0.554120601810618","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"tj","0.176843787040479","0.00547969547186423","0.0099399071865262","-0.0963690906072561","-0.00739120569388641","0.14686053178441","-0.0186988332458438","0.0670501271884676","-0.0203117371577805","-0.0362458857754809","-0.0164643797471947","-0.0294946206467559","-0.0170137936448275","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sinkers_cutters_percent_accel_2","-0.00909597936842466","0.0172685018015852","0.0235362390456427","-0.00694838324973704","-0.106717331506277","-0.043168642971672","0.341644488399908","-0.0311001058104294","-0.0753492433738338","-0.151013970537657","0.055024589006807","0.055282831969363","0.0713918133303504","-0.0271476588363511","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IP_per_G","-0.0771122760987765","0.792306470100149","0.795528784373748","-0.554810101568089","0.00664131542158792","0.116757449710974","0.0412113497673972","0.0844979424828998","-0.194715384926971","-0.191927411276628","0.127612037318949","-0.12061775220957","0.121169741071715","0.0910194904672616","0.00814033453748137","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pitches_per_game","-0.0821916651564757","0.776888856589176","0.770481214776899","-0.577272678253577","0.0420670029984225","0.117892105398202","0.0271249747623512","0.0859120701425638","-0.108368533408394","-0.139202462391147","0.11194267426173","-0.133503960010659","0.099403514486041","0.0878306598514612","0.00340925935388193","0.993482734814342","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_pitch_types_percent_accel_2","-0.0438421992251934","0.00334181699627603","-0.00442184198909717","0.00964985299765753","-0.00803542619358037","-0.00343613734277024","-0.240122881055539","0.0323089116783129","0.0855909848981285","0.123155279392272","0.0557264502063766","0.000804256652557629","0.0422983018345642","-0.028898680666467","-0.371685645672811","-0.0239229197830737","-0.0203200178692597","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"other_pitch_types_w_accel_2","-0.135284412178399","0.0765860618305036","0.0977344361596375","0.121338694793504","-0.251811657638295","-0.0296522332542808","-0.0220784617108924","-0.0347420149768623","-0.175376162552042","0.0490456758737115","0.230693250912894","0.235226065754713","0.269345352965311","-0.0244105975196158","-0.055728921530829","0.000812380837712001","-0.0229676777229996","0.196850880955188","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
