PLAYER,injury,year
AARON COOK,. LEFT KNEE LACERATION.,2012
AL ALBURQUERQUE,. RECOVERING FROM DECEMBER 2011 RIGHT ELBOW SURGERY.,2012
ALEXI OGANDO," RETROACTIVE TO JUNE 11, 2012. STRAINED RIGHT GROIN.",2012
ANDREW BAILEY,. RECOVERING FROM APRIL 2012 RIGHT THUMB SURGERY.,2012
ANDREW CARIGNAN,. SPRAINED RIGHT ELBOW.,2012
ANDREW CASHNER,. STRAINED RIGHT LATISSIMUS DORSI MUSCLE,2012
ANDREW MILLER," RETROACTIVE TO MARCH 26, 2012. LEFT HAMSTRING STRAIN.",2012
ANDY PETTITTE,. FRACTURED FIBULA IN HIS LEFT ANKLE.,2012
ANTHONY BASS," RETROACTIVE TO JUNE 21, 2012. RIGHT SHOULDER INFLAMMATION.",2012
ANTHONY SWARZAK," RETROACTIVE TO JULY 25, 2012. MILD RIGHT ROTATOR CUFF STRAIN.",2012
BARTOLO COLON," RETROACTIVE TO JUNE 18, 2012. STRAINED RIGHT OBLIQUE",2012
BEN SHEETS,. RIGHT SHOULDER INFLAMMATION.,2012
BILL BRAY," RETROACTIVE TO APRIL 19, 2012. STRAINED LEFT GROIN. LUMBAR MUSCLE STRAIN.",2012
BLAKE PARKER,. RIGHT ELBOW STRESS REACTION.,2012
BLAKE WOOD," RETROACTIVE TO MARCH 26, 2012. IRRITATED ULNAR NERVE IN HIS RIGHT ELBOW.",2012
BRAD LIDGE," RETROACTIVE TO APRIL 22, 2012. ABDOMINAL WALL STRAIN.",2012
BRAD PENNY,. RIGHT SHOULDER IMPINGEMENT.,2012
BRANDON BEACHY,. SORE RIGHT EBLOW.,2012
BRANDON MCCARTHY," RETROACTIVE TO MAY 18, 2012. STRAINED RIGHT SHOULDER. RETROACTIVE TO JUNE 20, 2012. STRAINED RIGHT SHOULDER.",2012
BRANDON MORROW,. LEFT OBLIQUE STRAIN.,2012
BRETT ANDERSON,. LEFT ELBOW INJURY.,2012
BRIAN BRUNEY," RETROACTIVE TO JUNE 25, 2012. LEFT HIP INFLAMMATION.",2012
BRIAN WILSON," RETROACTIVE TO APRIL 13, 2012. RIGHT ELBOW SPRAIN",2012
BUD NORRIS," RETROACTIVE TO JUNE 13, 2012. LEFT KNEE SPRAIN",2012
CARL PAVANO," RETROACTIVE TO JUNE 2, 2012. RIGHT SHOULDER STRAIN.",2012
CARLOS CARRASCO,. RIGHT ELBOW SURGERY,2012
CARLOS MARMOL,. STRAINED RIGHT HAMSTRING.,2012
CC SABATHIA," RETROACTIVE TO JUNE 25, 2012. STRAINED ABDUCTOR MUSCLE. RETROACTIVE TO AUGUST 9, 2012. LEFT ELBOW SORENESS.",2012
CESAR CABRAL," RETROACTIVE TO MARCH 31, 2012. LEFT ELBOW FRACTURE.",2012
CHAD BILLINGSLEY," RETROACTIVE TO JULY 8, 2012. RIGHT ELBOW INFLAMMATION.. RIGHT ELBOW PAIN.",2012
CHAD QUALLS," RETROACTIVE TO AUGUST 25, 2012. IRRITATION OF LEFT TOE.",2012
CHARLIE FURBUSH,.,2012
CHARLIE MORTON," RETROACTIVE TO MARCH 29, 2012. RECOVERING FROM OCTOBER 2011 RIGHT HIP SURGERY. RETROACTIVE TO MAY 30, 2012. RIGHT ELBOW INFLAMMATION.",2012
CHRIS CARPENTER," RETROACTIVE TO MARCH 26, 2012. NERVE IRRITATION IN HIS RIGHT SHOULDER.",2012
CHRIS NARVESON," RETROACTIVE TO APRIL 16, 2012. LEFT ROTATOR CUFF TEAR.",2012
CHRIS WITHROW,. RIGHT SHOULDER STRAIN.,2012
CHRISTIAN FRIEDRICH," RETROACTIVE TO JULY 29, 2012. STRESS FRACTURE ON THE RIGHT SIDE OF HIS LOWER SPINE.",2012
CLAY BUCHHOLZ," RETROACTIVE TO JUNE 20, 2012. GASTRO-INTESTINAL PROBLEM.",2012
CLAY HENSLEY," RETROACTIVE TO AUGUST 27, 2012. RIGHT GROIN STRAIN.",2012
CLIFF LEE," RETROACTIVE TO APRIL 19, 2012. LEFT OBLIQUE STRAIN.",2012
COLBY LEWIS," RETROACTIVE TO JUNE 24, 2012. RIGHT FOREARM TENDINITIS.. RIGHT FOREARM TENDINITIS.",2012
COLE DE VRIES," RETROACTIVE TO SEPTEMBER 9, 2012. CRACKED RIB.",2012
COLE KIMBALL,. REHAB FROM RIGHT SHOULDER SURGERY,2012
CORY LUEBKE," RETROACTIVE TO APRIL 28, 2012. STRAINED LEFT ELBOW.",2012
DAISUKE MATSUZAKA," RETROACTIVE TO MARCH 26, 2012. RECOVERING FROM JUNE 2011 TOMMY JOHN SURGERY.. RIGHT UPPER TRAPEZIUS STRAIN.",2012
DALLAS BRADEN," RETROACTIVE TO MARCH 24, 2012. RECOVERING FROM MAY 2011 LEFT SHOULDER SURGERY.",2012
DAN HAREN," RETROACTIVE TO JULY 4, 2012. LOWER BACK STIFFNESS",2012
DANIEL HUDSON," RETROACTIVE TO APRIL 19, 2012. RIGHT SHOULDER IMPINGEMENT. SORE RIGHT ELBOW.",2012
DANIEL SCHLERETH,. LEFT SHOULDER TENDINITIS.,2012
DANNY DUFFY,. LEFT ELBOW TIGHTNESS.,2012
DAVID HERNDON," RETROACTIVE TO APRIL 30, 2012. RIGHT ELBOW INFLAMMATION.",2012
DAVID ROBERTSON," RETROACTIVE TO MAY 12, 2012. LEFT OBLIQUE STRAIN.",2012
DELLIN BETANCES,. RIGHT SHOULDER INFLAMMATION.,2012
DEREK HOLLAND," RETROACTIVE TO JUNE 6, 2012. LEFT SHOULDER FATIGUE.",2012
DILLON GEE," RETROACTIVE TO JULY 8, 2012. DAMAGED ARTERY IN RIGHT SHOULDER",2012
DOUG FISTER,". RETROACTIVE TO MAY 29, 2012. LEFT SIDE STRAIN.",2012
DREW HUTCHISON,. SPRAINED RIGHT ELBOW.,2012
DREW SMYLY," RETROACTIVE TO JUNE 11, 2012. BLISTER ON THE MIDDLE FINGER OF HIS LEFT HAND.",2012
DREW STOREN," RETROACTIVE TO MARCH 26, 2012. ELBOW INJURY",2012
DUSTIN MCGOWAN," RETROACTIVE TO MARCH 26, 2012. PLANTAR FASCIITIS IN HIS RIGHT FOOT.",2012
DUSTIN MOSELEY,. STRAINED RIGHT SHOULDER,2012
EDGMER ESCALONA," RETROACTIVE TO AUGUST 6, 2012. RIGHT ELBOW INFLAMMATION.",2012
EDWARD MUJICA,. FRACTURED RIGHT PINKY TOE.,2012
ERIC STULTS," RETROACTIVE TO JUNE 4, 2012. STRAINED LEFT LATISSIMUS DORSI MUSCLE",2012
ERIC SURKAMP," RETROACTIVE TO MARCH 26, 2012. STRAINED FLEXOR TENDON.",2012
FELIPE PAULINO," RETROACTIVE TO MARCH 26, 2012. SORE RIGHT ELBOW. RETROACTIVE TO JUNE 7, 2012. STRAINED RIGHT GROIN.",2012
FELIX DOUBRONT," RETROACTIVE TO AUGUST 10, 2012. KNEE PROBLEM.",2012
