PLAYER,injury,year
ALEX COBB,. CONCUSSION.. CONCUSSION.,2015
ALEX COLOME,. RIGHT ELBOW STRAIN.,2015
ALEX SANABIA,. RIGHT GROIN WEAKNESS.,2015
ALEX WHITE,. RIGHT ELBOW STRAIN.,2015
ALEX WILSON,. SPRAINED RIGHT THUMB.,2015
ALEXI OGANDO,". RIGHT BICEPS TENDINITIS. RETROACTIVE TO JUNE 6, 2013. RIGHT SHOULDER INFLAMMATION. RETROACTIVE TO AUGUST 14, 2013. RIGHT SHOULDER INFLAMMATION",2015
ALFREDO FIGARO," RETROACTIVE TO JUNE 24, 2013. RIGHT OBLIQUE STRAIN.",2015
ANDREW BAILEY," RETROACTIVE TO APRIL 29, 2013. RIGHT BICEPS INFLAMMATION. RETROACTIVE TO JULY 13, 2013. RIGHT SHOULDER STRAIN",2015
ANDREW MILLER,. LEFT FOOT INJURY.,2015
ANDREW TAYLOR," RETROACTIVE TO MARCH 22, 2013. SMALL TEAR IN HIS LEFT LABRUM.",2015
ANDY PETTITTE,. STRAINED TRAPEZIUS MUSCLE.,2015
ANIBAL SANCHEZ," RETROACTIVE TO JUNE 16, 2013. RIGHT SHOULDER STIFFNESS.",2015
ANTHONY SWARZAK,. FRACTURED LEFT RIBS.,2015
ARODYS VIZCAINO,. RECOVERING FROM MARCH 2012 TOMMY JOHN SURGERY.,2015
BARTOLO COLON," RETROACTIVE TO AUGUST 14, 2013. LEFT GROIN STRAIN.",2015
BOBBY PARNELL," RETROACTIVE TO JULY 31, 2013. HERNIATED DISK IN HIS NECK.",2015
BRANDON BEACHY," RETROACTIVE TO MARCH 22, 2013. RECOVERING FROM JUNE 2012 TOMMY JOHN SURGERY. RETROACTIVE TO AUGUST 21, 2013. RIGHT ELBOW INFLAMMATION.",2015
BRANDON GOMES," RETROACTIVE TO MAY 8, 2013. RIGHT LAT STRAIN.",2015
BRANDON MCCARTHY," RETROACTIVE TO MAY 31, 2013. INFLAMMATION OF RIGHT SHOULDER.",2015
BRANDON MORROW,. RIGHT FOREARM STRAIN.,2015
BRETT ANDERSON,. SPRAINED RIGHT ANKLE.,2015
BRETT CECIL," RETROACTIVE TO SEPTEMBER 13, 2013. SORE LEFT ELBOW.",2015
BRETT MYERS," RETROACTIVE TO APRIL 20, 2013. RIGHT ELBOW INFLAMMATION.",2015
CASEY KELLY,.,2015
CC SABATHIA,. LEFT HAMSTRING STRAIN.,2015
CHAD BILLINGSLEY," RETROACTIVE TO MARCH 22, 2013. RIGHT INDEX FINGER CONTUSION. RETROACTIVE TO APRIL 16, 2013. RIGHT ELBOW PAIN.",2015
CHAD GAUDIN," RETROACTIVE TO JUNE 21, 2013. BRUISED RIGHT ELBOW. RETROACTIVE TO AUGUST 17, 2013. CARPAL TUNNEL SYNDROME.",2015
CHARLIE MORTON," RETROACTIVE TO MARCH 22, 2013. RECOVERING FROM JUNE 2012 TOMMY JOHN SURGERY.",2015
CHRIS CAPUANO,". LEFT CALF STRAIN. RETROACTIVE TO MAY 30, 2013. LEFT SHOULDER LATISSIMUS STRAIN",2015
CHRIS PEREZ,. RIGHT SHOULDER SORENESS.,2015
CHRIS TILLMAN," RETROACTIVE TO MARCH 22, 2013. LEFT ABDOMINAL STRAIN.",2015
CHRISTIAN FRIEDRICH,. LOWER BACK INFLAMMATION.,2015
CLAY BUCHHOLZ," RETROACTIVE TO JUNE 9, 2013. NECK STRAIN.",2015
CLAYTON MORTENSEN,. STRAINED RIGHT GROIN.,2015
CLAYTON RICHARD,. INTESTINAL VIRUS.. LEFT SHOULDER STRAIN.,2015
COLBY LEWIS," RETROACTIVE TO MARCH 22, 2013. RECOVERING FROM JULY 2012 RIGHT ELBOW SURGERY.",2015
COLE DE VRIES," RETROACTIVE TO MARCH 30, 2013. RIGHT FOREARM STRAIN.",2015
COREY KLUBER,. RIGHT LONG FINGER SPRAIN.,2015
CORY LUEBKE,.,2015
CRAIG BRESLOW," RETROACTIVE TO MARCH 22, 2013. LEFT SHOULDER TENDINITIS.",2015
CRISTHIAN MARTINEZ," RETROACTIVE TO APRIL 7, 2013. RIGHT SHOULDER INFLAMMATION.",2015
DAN HAREN," RETROACTIVE TO JUNE 23, 2013. RIGHT SHOULDER INFLAMMATION.",2015
DANNY DUFFY,". RECOVERING FROM JUNE 2012 TOMMY JOHN SURGERY. RETROACTIVE TO SEPTEMBER 8, 2013. MILD LEFT FLEXOR STRAIN.",2015
DARREN OLIVER," RETROACTIVE TO MAY 19, 2013. LEFT SHOULDER STRAIN",2015
DAVID PHELPS," RETROACTIVE TO JULY 5, 2013. RIGHT FOREARM STRAIN",2015
DAVID PRICE,. STRAINED LEFT TRICEPS.,2015
DREW POMERANZ," RETROACTIVE TO JULY 23, 2013. LEFT BICEP TENDINITIS.",2015
DUSTIN MCGOWAN," RETROACTIVE TO MARCH 27, 2013. SORE RIGHT SHOULDER. RETROACTIVE TO JULY 30, 2013. RIGHT OBLIQUE STRAIN.",2015
EDGAR GONZALEZ," RETROACTIVE TO MAY 26, 2013. RIGHT SHOULDER STRAIN.",2015
EDGMER ESCALONA," RETROACTIVE TO JUNE 10, 2013. RIGHT ELBOW INFLAMMATION.",2015
ERIC SURKAMP," RETROACTIVE TO MARCH 22, 2013. RECOVERING FROM JULY 2012 TOMMY JOHN SURGERY.",2015
FERNANDO RODRIGUEZ,. SPRAINED RIGHT ELBOW.,2015
FRANCISCO LIRIANO," RETROACTIVE TO MARCH 22, 2013. FRACTURED RIGHT ARM.",2015
FRANK FRANCISCO," RETROACTIVE TO MARCH 22, 2013. INFLAMMATION IN HIS RIGHT ELBOW.",2015
FRANK HERRMANN,. RECOVERING FROM MARCH 2013 TOMMY JOHN SURGERY.,2015
FRANKLIN MORALES," RETROACTIVE TO MARCH 22, 2013. LOW BACK STRAIN. RETROACTIVE TO JUNE 23, 2013. LEFT PECTORALIS STRAIN.",2015
GAVIN FLOYD,. FLEXOR MUSCLE STRAIN IN HIS RIGHT ARM.,2015
HENDERSON ALVAREZ," RETROACTIVE TO MARCH 27, 2013. MILD RIGHT SHOULDER INFLAMMATION.",2015
HUSTON STREET," RETROACTIVE TO MAY 30, 2013. STRAINED LEFT CALF MUSCLE.",2015
IVAN NOVA,. INFLAMMATION OF THE RIGHT TRICEPS.,2015
JAIME GARCIA,. LEFT SHOULDER STRAIN,2015
JAKE PEAVY," RETROACTIVE TO JUNE 5, 2013. FRACTURED RIB.",2015
JAKE WESTBROOK," RETROACTIVE TO MAY 9, 2013. RIGHT ELBOW INFLAMMATION. RETROACTIVE TO AUGUST 22, 2013. LOWER BACK STRAIN.",2015
JAMES MCDONALD," RETROACTIVE TO MAY 1, 2013. DISCOMFORT IN RIGHT SHOULDER.",2015
JARED HUGHES," RETROACTIVE TO JUNE 6, 2013. RIGHT SHOULDER INFLAMMATION.",2015
JASON GRILLI,. RIGHT FOREARM STRAIN.,2015
JASON HAMMEL," RETROACTIVE TO JULY 29, 2013. RIGHT FLEXOR MASS STRAIN.",2015
JASON MARQUIS," RETROACTIVE TO JULY 20, 2013. RIGHT ELBOW STRAIN.",2015
JASON MOTTE," RETROACTIVE TO MARCH 22, 2013. STRAINED RIGHT ELBOW.",2015
JASON VARGAS," RETROACTIVE TO JUNE 18, 2013. BLOOD CLOT LEFT ARMPIT.",2015
JEANMAR GOMEZ,. RIGHT FOREARM INFLAMMATION,2015
JEFF FRANCIS," RETROACTIVE TO MAY 15, 2013. LEFT GROIN STRAIN.",2015
JEFF KARSTENS," RETROACTIVE TO MARCH 22, 2013. RIGHT SHOULDER INFLAMMATION.",2015
JEFF NIEMANN," RETROACTIVE TO MARCH 28, 2013. RIGHT FOREARM STRAIN.",2015
JENRRY MEJIA," RETROACTIVE TO MARCH 22, 2013. INFLAMMATION IN HIS RIGHT ELBOW.. BONE SPUR IN RIGHT ELBOW.",2015
JERED WEAVER," RETROACTIVE TO APRIL 8, 2013. NONDISPLACED FRACTURE IN HIS LEFT ELBOW.",2015
JEREMY AFFELDT," RETROACTIVE TO APRIL 15, 2013. STRAINED RIGHT OBLIQUE.. LEFT GROIN STRAIN.",2015
JEREMY HEFNER," RETROACTIVE TO AUGUST 10, 2013. PARTIALLY TORN RIGHT ELBOW LIGAMENT.",2015
JEREMY HORST," RETROACTIVE TO JUNE 16, 2013. LEFT ELBOW STRAIN.",2015
JESSE CRAIN,. RIGHT SHOULDER STRAIN.,2015
JEURYS FAMILIA," RETROACTIVE TO MAY 9, 2013. RIGHT BICEPS TENDINITIS.",2015
JHOULYS CHACIN," RETROACTIVE TO APRIL 20, 2013. LEFT LOWER-BACK STRAIN.",2015
JIM HENDERSON,. STRAINED RIGHT HAMSTRING.,2015
JOAKIM SORIA," RETROACTIVE TO MARCH 22, 2013. RECOVERING FROM MARCH 2012 TOMMY JOHN SURGERY.",2015
JOBA CHAMBERLAIN," RETROACTIVE TO APRIL 28, 2013. STRAINED RIGHT SIDE.",2015
JOEL HANRAHAN," RETROACTIVE TO APRIL 14, 2013. STRAINED RIGHT HAMSTRING.. RIGHT FOREARM STRAIN.",2015
JOHAN SANTANA," RETROACTIVE TO MARCH 22, 2013. RE-TEAR OF THE ANTERIOR CAPSULE IN HIS LEFT SHOULDER.",2015
