"","vif(fwd_aic)"
"Pitches",1.37102508479297
"prior_injury",1.01540431323699
"P_per_IP",2.10510990427844
"IP_accel_2",214.382314128201
"wSI..pi._accel_2",1.08827733246094
"wFA..pi._accel_2",217.408568577919
"walk_rate",1.77997270590246
"win_rec",1.08029168417318
"vFA..pi.",1.17453945244255
"FA...pi.",19.3586620648799
"tj",1.02458815120442
"FA.Z..pi.",6.4207813604556
"wild_pitch_rate_accel_2",1.28443162047265
"P_per_IP:IP_accel_2",213.793325145596
"FA...pi.:FA.Z..pi.",27.2300720385022
"P_per_IP:wFA..pi._accel_2",217.633872665422
"wSI..pi._accel_2:wFA..pi._accel_2",1.02071408999904
"tj:wild_pitch_rate_accel_2",1.28289398358335
