"","vif(fwd_vif)"
"Pitches",1.3644484420515
"P_per_IP",2.10654844038974
"IP_accel_2",1.34793891534589
"wSI..pi._accel_2",1.0868669980321
"wFA..pi._accel_2",1.09345857901099
"walk_rate",1.7922409798675
"win_rec",1.0787949480692
"vFA..pi.",1.17362788241607
"FA...pi.",1.25545945124578
"FA.Z..pi.",1.2796803619695
"wild_pitch_rate_accel_2",1.01454997134869
"P_per_IP:IP_accel_2",1.13270894371258
"FA...pi.:FA.Z..pi.",1.20657246353296
"P_per_IP:wFA..pi._accel_2",1.07781083042735
"wSI..pi._accel_2:wFA..pi._accel_2",1.0245624304746
